(Re)Create Webhooks,Webhooks (opnieuw) aanmaken,
%1 is too long. The maximum length is %2 characters.,%1 is te lang. De maximale lengte is %2 tekens.,
"<p>If you plan to no longer use the TreviPay module, please delete the created webhooks so that TreviPay will stop sending updates to your Magento website. In order to do it please click on the <strong>Delete Webhooks</strong> button.</p><p>Please note that webhooks can be (re)created at any time by clicking on the <strong>(Re)Create Webhooks</strong> button.</p>","<p>Als je de TreviPay-module niet meer gaat gebruiken, verwijder dan de gemaakte webhooks zodat TreviPay geen updates meer naar je Magento-website stuurt. Klik hiervoor op de knop <strong>Delete Webhooks</strong>.</p> <p>Houd er rekening mee dat webhooks op elk gewenst moment (opnieuw) kunnen worden aangemaakt door te klikken op de knop <strong> (Re)Create Webhooks</strong>.</p>",
"<p>It looks like the <strong>API Key</strong> had been edited recently or the <strong>Sandbox Mode</strong> status had been changed.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Het lijkt erop dat de <strong>API-sleutel</strong> onlangs bewerkt is of dat de status van de <strong>Sandbox-modus</strong> is gewijzigd.</p> <p>Controleer de instellingen zodra je bevestigd hebt dat alles juist is ingesteld, klik je op de knop <strong>Check Created Webhooks</strong>. Magento haalt de webhooks op die in TreviPay zijn aangemaakt volgens de momenteel geconfigureerde <strong>API-sleutel</strong> (of <strong> Sandbox API-sleutel </strong> als de <strong> Sandbox-modus</strong> is ingesteld op 'Ja').</p><p>Als er geen webhooks zijn aangemaakt in TreviPay, klik je op de knop <strong> (Re)Create Webhooks</strong>. De webhooks worden opnieuw aan gemaakt op basis van de huidige configuratie van de TreviPay-module.</p>",
"<p>It looks like the website <strong>Base URL</strong> had been edited recently.</p><p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Het lijkt dat de website <strong>Base URL</strong> onlangs is bewerkt.</p><p>Controleer de instellingen en zodra je bevestigt dat alles juist is ingesteld, klik je op de knop <strong>Check Created Webhooks</strong>. Magento haalt de webhooks op die in TreviPay zijn aangemaakt volgens de momenteel geconfigureerde <strong>API Key</strong> (of <strong>Sandbox API Key</strong> als de <strong>Sandbox Mode</strong> is ingesteld op 'Ja').</p> <p>Als er geen webhooks zijn aangemaakt in TreviPay of als ze met behulp van de oude website <strong>Base URL </strong> gemaakt zijn, klik je op de knop <strong> (Re)Create Webhooks </strong>. De webhooks worden opnieuw aangemaakt volgens de huidige configuratie van de TreviPay-module.</p>",
"<p>Please note that this might be correct if your websites do not require separate TreviPay programs as it is fine for webhooks to be triggered only to your main website URL.</p><p>If you want to use multiple TreviPay programs, please review the settings and click on the <strong>Check Created Webhooks</strong> button once you have confirmed that everything is correctly set up. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay or they are created but using the old website <strong>Base URL</strong>, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p>Houd er rekening mee dat dit correct kan zijn als je websites geen afzonderlijke TreviPay-programma's vereisen, aangezien het prima is dat webhooks alleen geactiveerd worden voor de URL van je hoofdwebsite. </p><p>Als je meerdere TreviPay-programma's wilt gebruiken, controleer dan de instellingen en klik op de knop <strong>Check Created Webhooks</strong> nadat je bevestigd hebt dat alles correct is ingesteld. Magento haalt de webhooks op die in TreviPay zijn gemaakt volgens de momenteel geconfigureerde <strong>API-sleutel</strong> (of <strong> Sandbox API-sleutel</strong> als de <strong>Sandbox-modus</strong> is ingesteld op 'Ja').</p> <p>Als er geen webhooks zijn aangemaakt in TreviPay of als ze wel zijn aangemaakt maar de oude <strong> Base URL</strong> website gebruiken, klik dan op de knop <strong>(Re)Create Webhooks </strong>. De webhooks worden opnieuw aangemaakt volgens de huidige configuratie van de TreviPay-module.</p>",
"<p>Please review the settings and once you confirm everything is set up correctly, click on the <strong>Check Created Webhooks</strong> button. Magento will fetch the webhooks created in TreviPay according to the currently configured <strong>API Key</strong> (or <strong>Sandbox API Key</strong> if the <strong>Sandbox Mode</strong> is set to ""Yes"")</p><p>If webhooks are not created in TreviPay, click on the <strong>(Re)Create Webhooks</strong> button. The webhooks will be re(created) according to the current TreviPay module's configuration.</p>","<p> Controleer de instellingen en zodra je bevestigd hebt dat alles juist is ingesteld, klik je op de knop <strong>Check Created Webhooks</strong>. Magento haalt de webhooks op die in TreviPay zijn gemaakt volglens de momenteel geconfigureerde <strong> API-sleutel </strong> (of <strong> Sandbox API-sleutel</strong> als de <strong> Sandbox-modus</strong> is ingesteld op 'Ja'). </p><p> Als er geen webhooks zijn aangemaakt in TreviPay, klik je op de knop <strong>(Re)Create Webhooks</strong>. De webhooks worden opnieuw aangemaakt op basis van de huidige configuratie van de TreviPay-module.</p>",
A customer website ID wasn't specified. The ID must be specified to use the website scope.,Er is geen website-ID voor de klant opgegeven. De ID moet worden opgegeven om het websitebereik te gebruiken.,
Accepted Currency,Geaccepteerde valuta,
Accounts Payable Integration,Integratie van crediteurenadministratie,
